# 10 / 50
ForkJoinPool 32 124385319.00 8457000.73
ForkJoinPool 64 108115073.00 5117799.61
ForkJoinPool 96 109139829.00 6400111.26
ParallelStream 1 1007221062.00 13067430.75
ParallelStream 2 678278566.00 158843740.83
ParallelStream 4 422490276.00 77993115.68
ParallelStream 8 245367932.00 31424266.43
ParallelStream 16 162640883.00 19352678.46
ParallelStream 32 126273828.00 12554337.82
ParallelStream 64 118173959.00 7955179.82
ParallelStream 96 119648076.00 12128540.76
JavaSort 1 895072624.00 4147937.90
JavaSort 2 468335224.00 16752348.08
JavaSort 4 234910155.00 4777726.09
JavaSort 8 117864342.00 1598963.42
JavaSort 16 60239706.00 746953.31
JavaSort 32 36659269.00 2247076.39
JavaSort 64 28594156.00 2728997.89
JavaSort 96 30242045.00 3840391.43

__________________________________________________
# last
Sequential 1 1104127734.00 12096945.05
ExecutorService 1 1117635953.00 13139607.31
ExecutorService 2 847351712.00 158458670.49
ExecutorService 4 664498826.00 157966445.71
ExecutorService 8 524327361.00 128524174.33
ExecutorService 16 413239695.00 103654811.83
ExecutorService 32 346720888.00 98619275.72
ExecutorService 48 353209365.00 102109972.44
ExecutorService 64 297004750.00 67978449.36
ExecutorService 96 296520844.00 67392804.58
ForkJoinPool 1 1017545270.00 8998834.65
ForkJoinPool 2 560523337.00 120944830.35
ForkJoinPool 4 333462572.00 74467330.88
ForkJoinPool 8 203096825.00 37598915.33
ForkJoinPool 16 135502840.00 11936425.33
ForkJoinPool 32 107820430.00 5576700.05
ForkJoinPool 48 103541625.00 4407615.12
ForkJoinPool 64 107759536.00 5001552.28
ForkJoinPool 96 104028482.00 4907570.57
ParallelStream 1 1011531373.00 14673060.22
ParallelStream 2 682090795.00 160529972.75
ParallelStream 4 425662303.00 76835804.68
ParallelStream 8 247988432.00 30760318.14
ParallelStream 16 161932766.00 18885824.67
ParallelStream 32 126086216.00 12630044.58
ParallelStream 48 119995289.00 11815691.72
ParallelStream 64 116442298.00 11814009.81
ParallelStream 96 119119151.00 12142830.97
JavaSort 1 899786885.00 5703541.32
JavaSort 2 472572851.00 15956988.34
JavaSort 4 241425499.00 4912864.41
JavaSort 8 116700230.00 1705243.79
JavaSort 16 56621549.00 856222.68
JavaSort 32 37686053.00 1906896.64
JavaSort 48 30885548.00 2645267.81
JavaSort 64 30093338.00 2467547.17
JavaSort 96 28866777.00 3775218.18
