# n   local               pdc
1   1.3822792E7    1.1195707E7   
2   3.14311045E7     3.87395545E7  
4   9.2726625E7      6.06531725E7  
8   1.88254458E8     1.25723452E8  
16   3.7959925E8     2.430575845E8 
32   8.546348335E8   4.87317014E8  
64   1.5353376665E9  9.60880482E8  

# local
#  1  1.3822792E7   0.00435570469410232
#  2  3.14311045E7   0.019646796058344053
#  4  9.2726625E7   0.07052181614503925
#  8  1.88254458E8   0.011777941534855977
#  16  3.7959925E8   0.012014644391420689
#  32  8.546348335E8   0.04845612403885244
#  64  1.5353376665E9   0.004934094085810667

# PDC
#  1  1.1195707E7   0.0025960843741266184
#  2  3.87395545E7   7.098042389723403E-4
#  4  6.06531725E7   0.024646732205145575
#  8  1.25723452E8   0.004144922778607766
#  16  2.430575845E8   0.0032400737529751926
#  32  4.87317014E8   0.0012043864325245988
#  64  9.60880482E8   0.002660191405573789
